transaction_id,timestamp,customer_id,merchant_id,amount,country,mcc,channel,device_id,label
83,2024-01-01T07:37:00,2005,373,23.83,AE,5942,POS,d936,0
84,2024-01-01T07:39:00,3814,650,12.3,GB,5999,ECOM,d4611,0
85,2024-01-01T07:40:00,3398,320,46.27,IN,5732,POS,d866,0
86,2024-01-01T07:45:00,2576,702,38.86,SG,4789,POS,d4527,0
87,2024-01-01T07:45:00,3240,799,37.74,AE,5732,ATM,d4378,0
88,2024-01-01T07:51:00,1016,813,49.3,DE,5999,ECOM,d4706,0
89,2024-01-01T07:59:00,5280,820,91.39,GB,5411,POS,d5448,0
90,2024-01-01T08:01:00,4966,786,13.74,US,5999,POS,d7545,0
91,2024-01-01T08:06:00,3934,784,137.15,DE,5411,POS,d7733,0
92,2024-01-01T08:11:00,3554,211,47.55,DE,5814,ECOM,d63,0
93,2024-01-01T08:13:00,2522,478,39.87,GB,5411,POS,d6388,0
94,2024-01-01T08:17:00,2476,1106,37.41,DE,5411,POS,d6909,0
95,2024-01-01T08:26:00,5651,711,38.45,GB,5814,ATM,d727,0
96,2024-01-01T08:28:00,5355,651,52.4,US,5999,ECOM,d5245,0
97,2024-01-01T08:30:00,3919,693,36.74,DE,5411,POS,d4029,0
98,2024-01-01T08:32:00,4811,971,48.65,DE,5942,POS,d3332,0
99,2024-01-01T08:32:00,1681,968,25.75,IN,5942,POS,d6485,0
100,2024-01-01T08:38:00,5029,616,59.12,IN,5732,ECOM,d7535,0
101,2024-01-01T08:43:00,5590,1077,28.4,SG,5942,ECOM,d3233,0
102,2024-01-01T08:43:00,3339,435,26.76,AE,5732,ECOM,d48,0
103,2024-01-01T08:46:00,1676,345,10.83,GB,5732,ECOM,d4554,0
104,2024-01-01T08:53:00,3003,353,36.52,AE,5732,POS,d7680,0
105,2024-01-01T08:53:00,634,570,166.06,US,5999,ATM,d4939,0
106,2024-01-01T08:53:00,4925,296,51.17,AE,5942,ECOM,d5558,0
107,2024-01-01T08:53:00,4435,760,198.41,SG,5999,ECOM,d1845,0
108,2024-01-01T08:58:00,44,344,110.23,SG,5814,POS,d2513,0
109,2024-01-01T09:07:00,3306,1103,70.53,US,5732,ECOM,d5948,0
110,2024-01-01T09:09:00,4750,963,64.75,GB,5814,ECOM,d1164,0
111,2024-01-01T09:13:00,1462,1145,175.37,SG,5999,POS,d6936,0
112,2024-01-01T09:21:00,4165,236,32.78,SG,5411,ECOM,d6352,0
113,2024-01-01T09:23:00,3147,815,36.67,US,4789,ECOM,d180,0
114,2024-01-01T09:24:00,2169,369,33.86,US,5999,ECOM,d4275,0
115,2024-01-01T09:29:00,2917,1155,43.18,AE,5942,POS,d5099,0
116,2024-01-01T09:32:00,4636,1179,27.64,SG,5732,POS,d5281,0
117,2024-01-01T09:34:00,1793,431,61.34,IN,5411,POS,d7903,0
118,2024-01-01T09:42:00,974,301,60.05,AE,5999,ECOM,d1236,0
119,2024-01-01T09:49:00,3426,460,17.84,GB,5411,ECOM,d5487,0
120,2024-01-01T09:55:00,4077,824,46.46,SG,5732,POS,d2744,0
121,2024-01-01T09:57:00,3051,399,34.37,DE,5732,ECOM,d4135,0
122,2024-01-01T10:04:00,2354,13,28.84,SG,5411,POS,d4296,0
123,2024-01-01T10:06:00,1928,1162,15.04,DE,5814,POS,d3035,0
124,2024-01-01T10:12:00,5692,1037,59.29,US,5942,POS,d7837,0
125,2024-01-01T10:12:00,3382,1010,26.51,US,5732,POS,d3405,0
126,2024-01-01T10:16:00,3939,506,37.22,US,5732,POS,d3655,0
127,2024-01-01T10:22:00,5912,545,33.54,SG,5732,ECOM,d1458,0
128,2024-01-01T10:28:00,4162,225,8.97,US,5999,ECOM,d1086,0
129,2024-01-01T10:32:00,4686,925,38.68,AE,5411,ECOM,d2052,1
130,2024-01-01T10:38:00,211,126,7.74,DE,5411,POS,d6340,0
131,2024-01-01T10:42:00,1657,268,72.8,US,5732,POS,d4396,0
132,2024-01-01T10:47:00,233,724,10.4,DE,5732,ECOM,d283,0
133,2024-01-01T10:50:00,23,833,12.96,GB,5411,POS,d213,0
134,2024-01-01T10:52:00,2957,1006,33.2,SG,5732,POS,d5823,0
135,2024-01-01T10:53:00,755,1141,114.53,AE,5999,POS,d2905,0
136,2024-01-01T10:53:00,1644,905,59.45,GB,5732,ECOM,d4299,0
137,2024-01-01T10:59:00,1020,877,87.23,DE,5814,POS,d5795,0
138,2024-01-01T11:06:00,3272,623,17.87,DE,5411,ECOM,d5781,0
139,2024-01-01T11:08:00,1619,589,25.94,IN,5732,POS,d1328,0
140,2024-01-01T11:16:00,1619,182,29.86,IN,5732,POS,d5324,0
141,2024-01-01T11:17:00,3390,748,12.59,DE,5814,ATM,d632,0
142,2024-01-01T11:17:00,1077,607,47.66,IN,5411,ECOM,d3586,0
143,2024-01-01T11:21:00,942,685,33.97,DE,5942,ECOM,d7666,0
144,2024-01-01T11:25:00,1970,1034,30.24,DE,5411,ECOM,d6550,0
145,2024-01-01T11:28:00,3555,570,17.13,US,5999,POS,d3819,0
146,2024-01-01T11:35:00,766,1166,37.32,US,5732,POS,d1699,0
147,2024-01-01T11:44:00,5282,1196,13.71,GB,5411,POS,d6584,0
148,2024-01-01T11:49:00,5180,658,22.18,IN,5732,ECOM,d6339,0
149,2024-01-01T11:56:00,4426,1190,33.59,AE,5732,ECOM,d7037,0
150,2024-01-01T11:56:00,385,793,20.95,AE,5732,POS,d4444,0
151,2024-01-01T11:58:00,4387,1125,76.58,IN,5814,POS,d1393,0
152,2024-01-01T12:06:00,3594,395,18.33,IN,4789,ECOM,d6230,0
153,2024-01-01T12:07:00,5859,328,25.41,US,5814,POS,d3127,0
154,2024-01-01T12:09:00,5292,14,33.92,DE,5942,POS,d7653,0
155,2024-01-01T12:13:00,3575,29,57.26,IN,5732,POS,d540,0
156,2024-01-01T12:17:00,3890,916,4.12,AE,4789,ECOM,d4395,0
157,2024-01-01T12:17:00,4142,723,11.73,SG,5942,ECOM,d1375,1
158,2024-01-01T12:18:00,2998,937,25.5,DE,4789,POS,d1223,0
159,2024-01-01T12:20:00,4701,97,32.43,US,5411,POS,d5651,0
160,2024-01-01T12:25:00,1816,1145,15.52,SG,5999,POS,d2555,0
161,2024-01-01T12:28:00,5685,857,25.41,GB,4789,ECOM,d1911,0
162,2024-01-01T12:30:00,3004,320,20.46,IN,5732,POS,d4965,0
163,2024-01-01T12:39:00,1316,236,11.29,SG,5411,POS,d6940,0
164,2024-01-01T12:45:00,2641,742,103.13,US,4789,ATM,d3758,0
165,2024-01-01T12:53:00,1687,17,71.16,AE,4789,ECOM,d1130,1
166,2024-01-01T12:58:00,2623,361,32.51,IN,5411,POS,d7468,0
167,2024-01-01T13:07:00,319,1085,21.21,DE,4789,POS,d5786,0
168,2024-01-01T13:11:00,1977,211,17.73,DE,5814,POS,d7757,0
169,2024-01-01T13:16:00,14,765,7.7,SG,5411,POS,d4947,0
170,2024-01-01T13:17:00,1004,1127,87.51,DE,5814,ECOM,d4043,0
171,2024-01-01T13:26:00,4964,1015,102.04,IN,4789,POS,d452,0
172,2024-01-01T13:33:00,4301,351,23.24,DE,5942,POS,d5000,0
173,2024-01-01T13:42:00,4491,603,13.18,GB,5942,POS,d2247,0
174,2024-01-01T13:50:00,848,944,25.56,AE,5999,ECOM,d2923,0
175,2024-01-01T13:57:00,3853,872,111.71,IN,5814,POS,d6989,0
176,2024-01-01T14:04:00,4232,978,83.63,US,5411,ECOM,d946,0
177,2024-01-01T14:04:00,5338,75,81.99,US,5411,ECOM,d2393,0
178,2024-01-01T14:12:00,4897,622,149.43,US,5999,ECOM,d2426,0
179,2024-01-01T14:14:00,4565,35,28.85,AE,5814,POS,d6615,0
180,2024-01-01T14:14:00,5325,377,13.35,SG,5411,ECOM,d3699,0
181,2024-01-01T14:23:00,665,258,13.06,IN,5411,ECOM,d1114,0
182,2024-01-01T14:23:00,2452,542,50.43,IN,5732,POS,d7938,0
183,2024-01-01T14:28:00,4720,330,80.02,DE,5411,ECOM,d6689,0
184,2024-01-01T14:37:00,5142,663,12.79,DE,5411,ECOM,d7333,0
185,2024-01-01T14:40:00,3577,856,12.87,IN,5732,POS,d5404,0
186,2024-01-01T14:41:00,4061,233,32.47,GB,5942,ECOM,d5930,0
187,2024-01-01T14:48:00,2800,692,7.38,DE,4789,POS,d2884,0
188,2024-01-01T14:53:00,1597,717,22.8,SG,5942,POS,d6559,0
189,2024-01-01T15:02:00,1335,100,49.14,AE,5411,POS,d1780,0
190,2024-01-01T15:05:00,1885,1181,58.91,US,5814,ECOM,d4161,0
191,2024-01-01T15:10:00,2694,375,30.32,US,5411,ATM,d6489,0
192,2024-01-01T15:10:00,2601,485,38.54,IN,5732,POS,d6765,0
193,2024-01-01T15:12:00,5760,945,11.91,DE,5814,ECOM,d6977,0
194,2024-01-01T15:15:00,1690,251,13.79,US,5814,ECOM,d5196,1
195,2024-01-01T15:19:00,4172,131,33.08,DE,5999,POS,d3967,0
196,2024-01-01T15:19:00,5663,842,14.96,SG,5732,POS,d1822,0
197,2024-01-01T15:19:00,2206,260,12.95,IN,5411,POS,d902,0
198,2024-01-01T15:19:00,5486,893,5.57,AE,5411,POS,d3692,0
199,2024-01-01T15:27:00,5194,10,11.24,IN,5732,POS,d5429,0
200,2024-01-01T15:36:00,975,865,28.67,IN,5411,ECOM,d2424,0
201,2024-01-01T15:40:00,5415,1155,149.67,AE,5942,POS,d7980,0
202,2024-01-01T15:46:00,598,735,11.42,US,5942,ECOM,d3207,0
203,2024-01-01T15:49:00,4525,571,6.63,SG,5999,POS,d5272,0
204,2024-01-01T15:51:00,876,474,92.48,AE,5732,POS,d4523,0
205,2024-01-01T15:58:00,2681,368,23.13,AE,5999,ECOM,d2818,0
206,2024-01-01T16:00:00,4470,11,35.91,GB,5814,POS,d7563,0
207,2024-01-01T16:08:00,5888,1157,48.77,DE,5411,POS,d7942,0
208,2024-01-01T16:08:00,4124,456,55.94,US,4789,ATM,d392,0
209,2024-01-01T16:17:00,395,769,46.04,US,5942,ECOM,d6341,0
210,2024-01-01T16:19:00,4099,132,18.57,US,4789,POS,d6301,0
211,2024-01-01T16:28:00,2244,226,84.93,US,5411,POS,d4750,0
212,2024-01-01T16:28:00,2057,699,51.89,AE,5732,ECOM,d5639,0
213,2024-01-01T16:30:00,2351,725,517.36,SG,5814,POS,d3439,0
214,2024-01-01T16:33:00,904,206,48.14,US,5999,ECOM,d5715,0
215,2024-01-01T16:40:00,4541,1111,67.6,GB,5732,ECOM,d7372,1
216,2024-01-01T16:44:00,1881,1179,111.09,SG,5732,ATM,d7406,0
217,2024-01-01T16:45:00,613,726,20.88,GB,5942,POS,d6980,0
218,2024-01-01T16:53:00,4220,101,26.66,GB,5732,POS,d659,0
219,2024-01-01T16:58:00,568,351,8.47,DE,5942,POS,d6304,0
220,2024-01-01T17:03:00,5062,674,11.09,SG,5732,ECOM,d7424,0
221,2024-01-01T17:12:00,3428,929,18.03,SG,5411,ECOM,d1373,0
222,2024-01-01T17:13:00,4442,171,30.14,AE,5999,ECOM,d2259,0
223,2024-01-01T17:17:00,3123,1150,16.47,US,4789,ECOM,d475,0
224,2024-01-01T17:17:00,3677,450,6.84,SG,5942,POS,d5253,0
225,2024-01-01T17:18:00,322,1015,53.31,IN,4789,POS,d33,0
226,2024-01-01T17:18:00,2397,364,14.63,GB,5411,POS,d6667,0
227,2024-01-01T17:24:00,4361,288,71.62,US,5732,ATM,d5488,0
228,2024-01-01T17:31:00,1675,185,35.33,SG,5999,POS,d3575,0
229,2024-01-01T17:35:00,4899,1121,38.89,GB,4789,ECOM,d6120,0
230,2024-01-01T17:36:00,5812,648,80.41,SG,5732,ATM,d4589,0
231,2024-01-01T17:44:00,2787,429,81.96,US,4789,ECOM,d3351,0
232,2024-01-01T17:47:00,4906,292,39.92,GB,5411,ECOM,d1917,0
233,2024-01-01T17:48:00,4448,243,76.65,GB,5814,ECOM,d5356,0
234,2024-01-01T17:54:00,3973,514,66.76,AE,4789,ECOM,d4201,0
235,2024-01-01T17:57:00,4211,1074,10.87,DE,5999,POS,d5167,0
236,2024-01-01T18:04:00,3366,965,15.36,DE,4789,POS,d3213,0
237,2024-01-01T18:07:00,3411,486,2.43,US,5732,ECOM,d1626,0
238,2024-01-01T18:10:00,5003,322,176.76,IN,5814,POS,d3970,0
239,2024-01-01T18:11:00,3333,1083,32.24,US,4789,POS,d2235,0
240,2024-01-01T18:16:00,4233,476,13.2,IN,5411,POS,d2390,0
241,2024-01-01T18:19:00,2087,244,33.29,IN,5732,ECOM,d7537,0
242,2024-01-01T18:19:00,825,710,54.11,DE,5814,POS,d1636,0
243,2024-01-01T18:20:00,1642,223,93.49,GB,5411,POS,d1258,0
244,2024-01-01T18:25:00,1355,689,12.08,US,5411,POS,d5362,0
245,2024-01-01T18:32:00,3283,1066,102.82,AE,5732,ECOM,d6037,0
246,2024-01-01T18:33:00,3830,722,32.1,IN,5814,ECOM,d5988,0
247,2024-01-01T18:40:00,5428,723,80.07,SG,5942,ECOM,d3173,0
248,2024-01-01T18:47:00,461,733,50.5,GB,5732,POS,d863,0
249,2024-01-01T18:49:00,1240,1117,33.04,DE,4789,POS,d4634,0
250,2024-01-01T18:50:00,3547,286,33.03,GB,5814,ECOM,d3490,0
251,2024-01-01T18:54:00,2163,379,31.41,SG,5732,ECOM,d2441,0
252,2024-01-01T19:03:00,514,1116,35.16,SG,5999,POS,d4590,0
253,2024-01-01T19:03:00,3834,597,20.97,US,4789,ECOM,d7698,0
254,2024-01-01T19:05:00,4244,253,187.94,US,5814,ATM,d708,0
255,2024-01-01T19:05:00,3586,46,21.34,SG,5411,ECOM,d2200,0
256,2024-01-01T19:07:00,690,198,16.39,GB,5999,POS,d5033,0
257,2024-01-01T19:08:00,3129,580,22.73,SG,5814,POS,d5396,0
258,2024-01-01T19:17:00,3340,535,46.16,AE,5732,POS,d1966,0
259,2024-01-01T19:20:00,2506,314,45.15,SG,5732,POS,d5744,0
260,2024-01-01T19:26:00,441,276,9.21,DE,5411,POS,d5704,0
261,2024-01-01T19:26:00,1956,239,26.89,IN,4789,POS,d4224,0
262,2024-01-01T19:27:00,5479,354,161.58,SG,5732,POS,d5098,0
263,2024-01-01T19:32:00,3245,216,67.89,IN,5732,ECOM,d4234,0
264,2024-01-01T19:37:00,5662,529,25.88,GB,5814,ATM,d4054,0
265,2024-01-01T19:45:00,3798,512,15.33,DE,5732,POS,d1875,0
266,2024-01-01T19:54:00,4346,39,55.88,DE,5814,ECOM,d1343,0
267,2024-01-01T20:03:00,1348,17,14.44,AE,4789,ECOM,d2887,0
268,2024-01-01T20:10:00,1930,397,28.01,GB,5814,POS,d5158,0
269,2024-01-01T20:18:00,4344,218,27.62,DE,5411,POS,d1168,0
270,2024-01-01T20:18:00,3003,284,11.72,AE,5942,ECOM,d1601,0
271,2024-01-01T20:18:00,5141,526,57.77,GB,5814,POS,d6558,0
272,2024-01-01T20:21:00,4557,709,10.52,US,5814,POS,d2111,0
273,2024-01-01T20:30:00,5974,453,16.62,GB,5814,POS,d7390,0
274,2024-01-01T20:30:00,2412,667,90.04,GB,5732,ECOM,d874,0
275,2024-01-01T20:32:00,166,1121,45.76,GB,4789,POS,d7662,0
276,2024-01-01T20:36:00,571,9,10.75,IN,5411,POS,d1217,0
277,2024-01-01T20:39:00,2296,1018,19.34,DE,5732,POS,d3719,0
278,2024-01-01T20:41:00,5867,7,20.3,IN,5411,POS,d2238,0
279,2024-01-01T20:45:00,3675,693,44.53,DE,5411,ECOM,d6505,0
280,2024-01-01T20:47:00,1587,765,57.67,SG,5411,POS,d689,0
281,2024-01-01T20:47:00,2227,369,12.47,US,5999,POS,d4846,0
282,2024-01-01T20:54:00,1790,220,80.26,SG,5732,POS,d3014,0
283,2024-01-01T20:58:00,1082,403,55.01,GB,5999,POS,d4977,0
284,2024-01-01T21:05:00,4820,45,55.22,IN,5411,ECOM,d6342,0
285,2024-01-01T21:14:00,5350,461,39.89,DE,5411,ECOM,d2567,0
286,2024-01-01T21:22:00,458,884,30.15,SG,5814,POS,d1957,0
287,2024-01-01T21:22:00,3186,1168,19.96,GB,5942,ECOM,d2000,0
288,2024-01-01T21:22:00,4329,438,53.48,SG,4789,POS,d4356,0
289,2024-01-01T21:25:00,4887,487,29.58,AE,5814,ECOM,d1448,0
290,2024-01-01T21:29:00,1286,718,12.14,DE,5999,ECOM,d3004,1
291,2024-01-01T21:37:00,269,655,6.87,SG,5411,POS,d1532,0
292,2024-01-01T21:40:00,291,648,24.67,SG,5732,ECOM,d4860,0
293,2024-01-01T21:42:00,339,45,35.91,IN,5411,POS,d3526,0
294,2024-01-01T21:45:00,5801,410,48.4,DE,5411,POS,d1395,0
295,2024-01-01T21:54:00,5472,840,8.45,IN,4789,POS,d4270,0
296,2024-01-01T22:02:00,2730,825,71.14,GB,5411,POS,d4121,0
297,2024-01-01T22:06:00,52,694,56.32,GB,5732,ECOM,d1363,0
298,2024-01-01T22:14:00,1272,1090,39.77,IN,5411,POS,d1476,0
299,2024-01-01T22:18:00,2338,464,48.3,DE,5814,POS,d3027,0
300,2024-01-01T22:22:00,634,637,59.48,GB,5732,ECOM,d760,0
301,2024-01-01T22:27:00,3003,352,21.93,SG,5411,POS,d479,0
302,2024-01-01T22:30:00,997,108,21.04,US,5732,ECOM,d7399,0
303,2024-01-01T22:33:00,2146,180,11.02,AE,5814,POS,d6627,0
304,2024-01-01T22:42:00,3878,516,58.38,DE,5814,ECOM,d2766,0
305,2024-01-01T22:42:00,5490,186,32.09,IN,5999,POS,d4597,0
306,2024-01-01T22:51:00,4950,648,17.82,SG,5732,ECOM,d5244,0
307,2024-01-01T22:56:00,4275,1068,336.65,SG,5732,ECOM,d4011,0
308,2024-01-01T23:04:00,5153,441,28.96,GB,5411,ECOM,d861,0
309,2024-01-01T23:07:00,3385,350,6.46,US,5999,ECOM,d3302,0
310,2024-01-01T23:12:00,3568,861,227.75,GB,5999,ATM,d326,0
311,2024-01-01T23:16:00,3051,900,21.66,IN,5999,POS,d601,0
312,2024-01-01T23:17:00,1748,158,44.03,IN,5814,ECOM,d2276,0
313,2024-01-01T23:25:00,1376,706,12.33,GB,5411,POS,d6290,0
314,2024-01-01T23:25:00,3790,239,34.52,IN,4789,ATM,d4390,0
315,2024-01-01T23:28:00,4082,743,8.11,IN,5411,POS,d3812,0
316,2024-01-01T23:35:00,2702,668,12.49,DE,5942,POS,d1144,0
317,2024-01-01T23:42:00,1077,230,71.9,IN,5999,POS,d4265,0
318,2024-01-01T23:48:00,3854,1114,68.13,AE,5814,ECOM,d885,0
319,2024-01-01T23:54:00,71,428,59.06,DE,5732,ECOM,d7888,0
320,2024-01-02T00:00:00,2037,669,49.91,AE,5814,POS,d2678,0
321,2024-01-02T00:09:00,2680,25,26.18,IN,5942,POS,d2474,0
322,2024-01-02T00:14:00,1216,563,50.25,US,5732,POS,d293,0
323,2024-01-02T00:19:00,1913,544,30.04,SG,4789,POS,d5800,0
324,2024-01-02T00:28:00,3810,664,38.78,US,5999,ECOM,d6338,0
325,2024-01-02T00:28:00,5978,706,31.16,GB,5411,ECOM,d1716,0
326,2024-01-02T00:33:00,3461,373,11.33,AE,5942,POS,d6010,0
327,2024-01-02T00:42:00,3733,845,67.76,AE,5732,POS,d4182,0
328,2024-01-02T00:43:00,1992,831,36.38,IN,5732,POS,d3770,0
329,2024-01-02T00:47:00,7,760,14.03,SG,5999,POS,d186,0
330,2024-01-02T00:55:00,2328,912,11.28,AE,5411,ECOM,d5888,0
331,2024-01-02T00:57:00,3433,770,28.42,US,5814,ATM,d7394,0
332,2024-01-02T01:02:00,5443,519,27.45,US,5732,POS,d2490,0
333,2024-01-02T01:02:00,4308,738,28.49,IN,5411,POS,d5710,0
334,2024-01-02T01:07:00,4855,655,49.31,SG,5411,POS,d5575,0
335,2024-01-02T01:08:00,899,649,7.31,SG,5732,ECOM,d5071,0
336,2024-01-02T01:11:00,1395,540,46.01,AE,5814,ECOM,d7799,0
337,2024-01-02T01:18:00,1961,206,7.89,US,5999,POS,d7578,0
338,2024-01-02T01:22:00,5164,524,19.87,SG,5814,ECOM,d84,0
339,2024-01-02T01:22:00,443,626,18.19,DE,5411,POS,d1795,0
340,2024-01-02T01:23:00,5700,801,29.93,IN,5814,ECOM,d990,0
341,2024-01-02T01:26:00,3341,316,44.2,US,5814,ECOM,d1682,1
342,2024-01-02T01:29:00,4952,821,27.23,IN,5411,POS,d2572,0
343,2024-01-02T01:29:00,336,498,15.16,US,5411,POS,d3336,0
344,2024-01-02T01:33:00,2108,108,15.61,US,5732,ECOM,d2721,0
345,2024-01-02T01:33:00,3364,425,36.69,GB,5999,POS,d3000,0
346,2024-01-02T01:41:00,5356,179,31.93,AE,5732,POS,d1173,0
347,2024-01-02T01:48:00,4120,488,14.62,IN,5411,POS,d711,0
348,2024-01-02T01:56:00,1276,337,29.01,GB,5999,POS,d393,0
349,2024-01-02T02:01:00,1315,136,237.27,IN,5411,POS,d7588,0
350,2024-01-02T02:04:00,594,514,30.88,AE,4789,ECOM,d5459,0
351,2024-01-02T02:09:00,2932,766,78.82,GB,5411,POS,d5613,0
